,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-08-22T13:21:45.042+02:00,   0.521E-01,   0.05213,   0.892E+01
      2,2021-08-22T13:21:45.362+02:00,   0.521E-01,   0.10426,   0.925E+01
      3,2021-08-22T13:21:45.813+02:00,   0.521E-01,   0.15639,   0.970E+01
      4,2021-08-22T13:21:46.169+02:00,   0.521E-01,   0.20851,   0.101E+02
      5,2021-08-22T13:21:46.534+02:00,   0.521E-01,   0.26064,   0.104E+02
      6,2021-08-22T13:21:47.103+02:00,   0.521E-01,   0.31277,   0.110E+02
      7,2021-08-22T13:21:47.489+02:00,   0.521E-01,   0.36490,   0.114E+02
      8,2021-08-22T13:21:47.879+02:00,   0.521E-01,   0.41703,   0.118E+02
      9,2021-08-22T13:21:48.366+02:00,   0.521E-01,   0.46916,   0.122E+02
     10,2021-08-22T13:21:48.781+02:00,   0.521E-01,   0.52129,   0.127E+02
     20,2021-08-22T13:21:53.695+02:00,   0.210E-01,   0.83314,   0.174E+02
     30,2021-08-22T13:21:58.503+02:00,   0.119E-01,   0.98253,   0.222E+02
     40,2021-08-22T13:22:02.860+02:00,   0.932E-02,   1.08250,   0.266E+02
     50,2021-08-22T13:22:06.894+02:00,   0.103E-01,   1.17851,   0.306E+02
     60,2021-08-22T13:22:11.882+02:00,   0.103E-01,   1.28105,   0.355E+02
     70,2021-08-22T13:22:16.038+02:00,   0.103E-01,   1.38359,   0.396E+02
     80,2021-08-22T13:22:20.742+02:00,   0.784E-02,   1.47511,   0.443E+02
     90,2021-08-22T13:22:25.266+02:00,   0.688E-02,   1.54679,   0.489E+02
    100,2021-08-22T13:22:29.549+02:00,   0.688E-02,   1.61560,   0.531E+02
    200,2021-08-22T13:23:12.626+02:00,   0.506E-02,   2.23170,   0.961E+02
    300,2021-08-22T13:23:54.775+02:00,   0.587E-02,   2.80586,   0.138E+03
    400,2021-08-22T13:24:36.614+02:00,   0.611E-02,   3.39209,   0.180E+03
    500,2021-08-22T13:25:18.974+02:00,   0.580E-02,   3.98580,   0.222E+03
    600,2021-08-22T13:26:02.202+02:00,   0.687E-02,   4.65357,   0.265E+03
    700,2021-08-22T13:26:45.364+02:00,   0.692E-02,   5.31980,   0.308E+03
    800,2021-08-22T13:27:25.547+02:00,   0.753E-02,   6.00960,   0.348E+03
    900,2021-08-22T13:28:05.229+02:00,   0.672E-02,   6.73000,   0.387E+03
   1000,2021-08-22T13:28:45.174+02:00,   0.671E-02,   7.41867,   0.427E+03
   1100,2021-08-22T13:29:24.310+02:00,   0.671E-02,   8.09011,   0.466E+03
   1200,2021-08-22T13:30:03.769+02:00,   0.642E-02,   8.73717,   0.505E+03
   1300,2021-08-22T13:30:43.227+02:00,   0.671E-02,   9.37058,   0.544E+03
   1400,2021-08-22T13:31:22.760+02:00,   0.580E-02,  10.01522,   0.584E+03
   1500,2021-08-22T13:32:01.828+02:00,   0.705E-02,  10.67669,   0.623E+03
   1600,2021-08-22T13:32:41.634+02:00,   0.763E-02,  11.34704,   0.662E+03
   1700,2021-08-22T13:33:21.782+02:00,   0.692E-02,  12.00063,   0.702E+03
   1800,2021-08-22T13:34:01.994+02:00,   0.651E-02,  12.62041,   0.742E+03
   1900,2021-08-22T13:34:41.731+02:00,   0.716E-02,  13.29128,   0.782E+03
   2000,2021-08-22T13:35:21.661+02:00,   0.633E-02,  13.95456,   0.822E+03
   2100,2021-08-22T13:36:01.677+02:00,   0.672E-02,  14.61590,   0.861E+03
   2200,2021-08-22T13:36:41.823+02:00,   0.645E-02,  15.25156,   0.901E+03
   2300,2021-08-22T13:37:21.854+02:00,   0.620E-02,  15.88019,   0.941E+03
   2400,2021-08-22T13:38:01.495+02:00,   0.714E-02,  16.54476,   0.981E+03
   2500,2021-08-22T13:38:41.457+02:00,   0.668E-02,  17.22382,   0.102E+04
   2600,2021-08-22T13:39:21.501+02:00,   0.721E-02,  17.91801,   0.106E+04
   2700,2021-08-22T13:40:01.918+02:00,   0.689E-02,  18.63421,   0.110E+04
   2800,2021-08-22T13:40:42.207+02:00,   0.584E-02,  19.28630,   0.114E+04
   2900,2021-08-22T13:41:21.266+02:00,   0.724E-02,  19.92140,   0.118E+04
   3000,2021-08-22T13:42:01.407+02:00,   0.570E-02,  20.55935,   0.122E+04
   3100,2021-08-22T13:42:41.184+02:00,   0.679E-02,  21.20396,   0.126E+04
   3200,2021-08-22T13:43:20.389+02:00,   0.723E-02,  21.86586,   0.130E+04
   3300,2021-08-22T13:43:59.965+02:00,   0.698E-02,  22.54436,   0.134E+04
   3400,2021-08-22T13:44:39.118+02:00,   0.737E-02,  23.22939,   0.138E+04
   3500,2021-08-22T13:45:18.077+02:00,   0.662E-02,  23.90802,   0.141E+04
   3600,2021-08-22T13:45:57.118+02:00,   0.662E-02,  24.57010,   0.145E+04
   3700,2021-08-22T13:46:36.125+02:00,   0.691E-02,  25.24781,   0.149E+04
   3800,2021-08-22T13:47:14.735+02:00,   0.662E-02,  25.91870,   0.153E+04
   3900,2021-08-22T13:47:56.009+02:00,   0.763E-02,  26.60596,   0.157E+04
   4000,2021-08-22T13:48:37.052+02:00,   0.664E-02,  27.30993,   0.161E+04
   4100,2021-08-22T13:49:18.633+02:00,   0.704E-02,  27.96916,   0.165E+04
   4200,2021-08-22T13:50:00.289+02:00,   0.676E-02,  28.59203,   0.170E+04
   4300,2021-08-22T13:50:41.129+02:00,   0.638E-02,  29.26123,   0.174E+04
   4400,2021-08-22T13:51:21.893+02:00,   0.729E-02,  29.94310,   0.178E+04
   4500,2021-08-22T13:52:03.607+02:00,   0.634E-02,  30.61673,   0.182E+04
   4600,2021-08-22T13:52:44.639+02:00,   0.704E-02,  31.24613,   0.186E+04
   4700,2021-08-22T13:53:25.059+02:00,   0.732E-02,  31.90981,   0.190E+04
   4800,2021-08-22T13:54:05.870+02:00,   0.693E-02,  32.57228,   0.194E+04
   4900,2021-08-22T13:54:46.701+02:00,   0.666E-02,  33.25248,   0.198E+04
   5000,2021-08-22T13:55:27.708+02:00,   0.706E-02,  33.94447,   0.202E+04
   5100,2021-08-22T13:56:08.858+02:00,   0.611E-02,  34.58745,   0.206E+04
   5200,2021-08-22T13:56:49.605+02:00,   0.714E-02,  35.25648,   0.210E+04
   5300,2021-08-22T13:57:30.286+02:00,   0.630E-02,  35.92096,   0.214E+04
   5400,2021-08-22T13:58:11.990+02:00,   0.692E-02,  36.60208,   0.218E+04
   5500,2021-08-22T13:58:52.283+02:00,   0.647E-02,  37.25929,   0.222E+04
   5600,2021-08-22T13:59:31.466+02:00,   0.698E-02,  37.93517,   0.226E+04
   5700,2021-08-22T14:00:10.545+02:00,   0.661E-02,  38.62843,   0.230E+04
   5800,2021-08-22T14:00:49.293+02:00,   0.642E-02,  39.26778,   0.234E+04
   5900,2021-08-22T14:01:28.476+02:00,   0.699E-02,  39.93556,   0.238E+04
   6000,2021-08-22T14:02:08.225+02:00,   0.734E-02,  40.64447,   0.242E+04
   6100,2021-08-22T14:02:48.115+02:00,   0.643E-02,  41.33365,   0.246E+04
   6200,2021-08-22T14:03:27.813+02:00,   0.635E-02,  42.02651,   0.250E+04
   6300,2021-08-22T14:04:07.244+02:00,   0.673E-02,  42.69333,   0.254E+04
   6400,2021-08-22T14:04:46.826+02:00,   0.660E-02,  43.35341,   0.258E+04
   6500,2021-08-22T14:05:26.359+02:00,   0.694E-02,  44.02349,   0.262E+04
   6600,2021-08-22T14:06:05.601+02:00,   0.648E-02,  44.70090,   0.266E+04
   6700,2021-08-22T14:06:45.121+02:00,   0.620E-02,  45.33456,   0.269E+04
   6800,2021-08-22T14:07:24.924+02:00,   0.590E-02,  45.98624,   0.273E+04
   6900,2021-08-22T14:08:04.426+02:00,   0.693E-02,  46.62405,   0.277E+04
   7000,2021-08-22T14:08:44.242+02:00,   0.675E-02,  47.29204,   0.281E+04
   7100,2021-08-22T14:09:24.044+02:00,   0.723E-02,  47.96199,   0.285E+04
   7200,2021-08-22T14:10:04.354+02:00,   0.781E-02,  48.70530,   0.289E+04
   7300,2021-08-22T14:10:44.207+02:00,   0.659E-02,  49.38223,   0.293E+04
   7400,2021-08-22T14:11:24.104+02:00,   0.671E-02,  50.03954,   0.297E+04
   7500,2021-08-22T14:12:03.870+02:00,   0.729E-02,  50.71819,   0.301E+04
   7600,2021-08-22T14:12:43.088+02:00,   0.629E-02,  51.37537,   0.305E+04
   7700,2021-08-22T14:13:22.816+02:00,   0.683E-02,  52.04120,   0.309E+04
   7800,2021-08-22T14:14:02.625+02:00,   0.657E-02,  52.70696,   0.313E+04
   7900,2021-08-22T14:14:42.176+02:00,   0.626E-02,  53.40344,   0.317E+04
   8000,2021-08-22T14:15:22.186+02:00,   0.613E-02,  54.07547,   0.321E+04
   8100,2021-08-22T14:16:01.911+02:00,   0.647E-02,  54.78384,   0.325E+04
   8200,2021-08-22T14:16:41.678+02:00,   0.651E-02,  55.47063,   0.329E+04
   8300,2021-08-22T14:17:21.010+02:00,   0.684E-02,  56.13428,   0.333E+04
   8400,2021-08-22T14:18:00.551+02:00,   0.597E-02,  56.81542,   0.337E+04
   8500,2021-08-22T14:18:39.561+02:00,   0.713E-02,  57.50776,   0.341E+04
   8600,2021-08-22T14:19:18.485+02:00,   0.724E-02,  58.19146,   0.344E+04
   8700,2021-08-22T14:19:57.800+02:00,   0.694E-02,  58.87666,   0.348E+04
   8800,2021-08-22T14:20:36.695+02:00,   0.654E-02,  59.53149,   0.352E+04
   8900,2021-08-22T14:21:15.471+02:00,   0.732E-02,  60.21415,   0.356E+04
   9000,2021-08-22T14:21:54.484+02:00,   0.670E-02,  60.88306,   0.360E+04
   9100,2021-08-22T14:22:33.798+02:00,   0.626E-02,  61.54331,   0.364E+04
   9200,2021-08-22T14:23:13.493+02:00,   0.664E-02,  62.19668,   0.368E+04
   9300,2021-08-22T14:23:52.966+02:00,   0.619E-02,  62.88564,   0.372E+04
   9400,2021-08-22T14:24:31.967+02:00,   0.681E-02,  63.56331,   0.376E+04
   9500,2021-08-22T14:25:11.657+02:00,   0.540E-02,  64.20301,   0.380E+04
   9600,2021-08-22T14:25:52.427+02:00,   0.647E-02,  64.81934,   0.384E+04
   9700,2021-08-22T14:26:32.513+02:00,   0.700E-02,  65.46168,   0.388E+04
   9800,2021-08-22T14:27:12.476+02:00,   0.656E-02,  66.10302,   0.392E+04
   9900,2021-08-22T14:27:52.719+02:00,   0.626E-02,  66.78536,   0.396E+04
  10000,2021-08-22T14:28:32.204+02:00,   0.677E-02,  67.45372,   0.399E+04
  10100,2021-08-22T14:29:11.341+02:00,   0.693E-02,  68.15063,   0.403E+04
  10200,2021-08-22T14:29:50.515+02:00,   0.646E-02,  68.83268,   0.407E+04
  10300,2021-08-22T14:30:29.750+02:00,   0.613E-02,  69.50011,   0.411E+04
  10400,2021-08-22T14:31:08.333+02:00,   0.704E-02,  70.18703,   0.415E+04
  10500,2021-08-22T14:31:47.455+02:00,   0.722E-02,  70.87453,   0.419E+04
  10600,2021-08-22T14:32:26.561+02:00,   0.701E-02,  71.57217,   0.423E+04
  10700,2021-08-22T14:33:05.468+02:00,   0.648E-02,  72.24632,   0.427E+04
  10800,2021-08-22T14:33:44.551+02:00,   0.683E-02,  72.93305,   0.431E+04
  10900,2021-08-22T14:34:23.363+02:00,   0.742E-02,  73.61644,   0.434E+04
  11000,2021-08-22T14:35:02.186+02:00,   0.623E-02,  74.26814,   0.438E+04
  11100,2021-08-22T14:35:40.870+02:00,   0.668E-02,  74.91102,   0.442E+04
  11200,2021-08-22T14:36:20.983+02:00,   0.631E-02,  75.57149,   0.446E+04
  11300,2021-08-22T14:37:01.032+02:00,   0.685E-02,  76.24080,   0.450E+04
  11400,2021-08-22T14:37:40.824+02:00,   0.740E-02,  76.92352,   0.454E+04
  11500,2021-08-22T14:38:20.837+02:00,   0.706E-02,  77.61337,   0.458E+04
  11600,2021-08-22T14:39:00.600+02:00,   0.732E-02,  78.27663,   0.462E+04
  11700,2021-08-22T14:39:40.666+02:00,   0.643E-02,  78.96459,   0.466E+04
  11800,2021-08-22T14:40:20.684+02:00,   0.738E-02,  79.63192,   0.470E+04
  11900,2021-08-22T14:41:00.197+02:00,   0.791E-02,  80.36585,   0.474E+04
  12000,2021-08-22T14:41:40.398+02:00,   0.699E-02,  81.05395,   0.478E+04
  12100,2021-08-22T14:42:20.017+02:00,   0.679E-02,  81.73621,   0.482E+04
  12200,2021-08-22T14:42:59.727+02:00,   0.682E-02,  82.42012,   0.486E+04
  12300,2021-08-22T14:43:39.616+02:00,   0.654E-02,  83.11186,   0.490E+04
  12400,2021-08-22T14:44:19.332+02:00,   0.668E-02,  83.76757,   0.494E+04
  12500,2021-08-22T14:44:59.451+02:00,   0.722E-02,  84.48171,   0.498E+04
  12600,2021-08-22T14:45:39.188+02:00,   0.678E-02,  85.17338,   0.502E+04
  12700,2021-08-22T14:46:19.002+02:00,   0.676E-02,  85.83836,   0.506E+04
  12800,2021-08-22T14:46:58.566+02:00,   0.676E-02,  86.51486,   0.510E+04
  12900,2021-08-22T14:47:39.058+02:00,   0.676E-02,  87.19136,   0.514E+04
  13000,2021-08-22T14:48:18.979+02:00,   0.684E-02,  87.83623,   0.517E+04
  13100,2021-08-22T14:48:58.749+02:00,   0.806E-02,  88.54369,   0.521E+04
  13200,2021-08-22T14:49:38.800+02:00,   0.683E-02,  89.27384,   0.525E+04
  13300,2021-08-22T14:50:18.437+02:00,   0.729E-02,  89.97678,   0.529E+04
  13400,2021-08-22T14:50:58.384+02:00,   0.687E-02,  90.72156,   0.533E+04
  13500,2021-08-22T14:51:38.260+02:00,   0.687E-02,  91.40884,   0.537E+04
  13600,2021-08-22T14:52:18.042+02:00,   0.732E-02,  92.11276,   0.541E+04
  13700,2021-08-22T14:52:58.099+02:00,   0.684E-02,  92.81405,   0.545E+04
  13800,2021-08-22T14:53:38.380+02:00,   0.698E-02,  93.46949,   0.549E+04
  13900,2021-08-22T14:54:18.085+02:00,   0.685E-02,  94.15678,   0.553E+04
  14000,2021-08-22T14:54:58.423+02:00,   0.714E-02,  94.84032,   0.557E+04
  14100,2021-08-22T14:55:38.528+02:00,   0.752E-02,  95.54792,   0.561E+04
  14200,2021-08-22T14:56:18.232+02:00,   0.690E-02,  96.24685,   0.565E+04
  14300,2021-08-22T14:56:58.206+02:00,   0.653E-02,  96.91911,   0.569E+04
  14400,2021-08-22T14:57:38.289+02:00,   0.642E-02,  97.58434,   0.573E+04
  14500,2021-08-22T14:58:18.317+02:00,   0.651E-02,  98.24577,   0.577E+04
  14600,2021-08-22T14:58:58.074+02:00,   0.642E-02,  98.91110,   0.581E+04
  14700,2021-08-22T14:59:38.085+02:00,   0.698E-02,  99.58107,   0.585E+04
  14800,2021-08-22T15:00:18.396+02:00,   0.752E-02, 100.30964,   0.589E+04
  14900,2021-08-22T15:00:58.342+02:00,   0.719E-02, 101.00187,   0.593E+04
  15000,2021-08-22T15:01:38.232+02:00,   0.665E-02, 101.69669,   0.597E+04
  15100,2021-08-22T15:02:18.276+02:00,   0.709E-02, 102.39652,   0.601E+04
  15200,2021-08-22T15:02:57.904+02:00,   0.684E-02, 103.10088,   0.605E+04
  15300,2021-08-22T15:03:37.914+02:00,   0.730E-02, 103.77893,   0.609E+04
  15400,2021-08-22T15:04:18.152+02:00,   0.707E-02, 104.43902,   0.613E+04
  15500,2021-08-22T15:04:58.333+02:00,   0.679E-02, 105.17075,   0.617E+04
  15600,2021-08-22T15:05:37.928+02:00,   0.746E-02, 105.89687,   0.621E+04
  15700,2021-08-22T15:06:17.673+02:00,   0.582E-02, 106.61204,   0.625E+04
  15800,2021-08-22T15:06:57.111+02:00,   0.717E-02, 107.25977,   0.629E+04
  15900,2021-08-22T15:07:36.069+02:00,   0.636E-02, 107.97202,   0.633E+04
  16000,2021-08-22T15:08:15.164+02:00,   0.700E-02, 108.66074,   0.636E+04
  16100,2021-08-22T15:08:53.896+02:00,   0.731E-02, 109.34467,   0.640E+04
  16200,2021-08-22T15:09:32.787+02:00,   0.709E-02, 110.05097,   0.644E+04
  16300,2021-08-22T15:10:11.560+02:00,   0.707E-02, 110.72695,   0.648E+04
  16400,2021-08-22T15:10:50.536+02:00,   0.749E-02, 111.42939,   0.652E+04
  16500,2021-08-22T15:11:29.794+02:00,   0.646E-02, 112.15266,   0.656E+04
  16600,2021-08-22T15:12:08.729+02:00,   0.698E-02, 112.81965,   0.660E+04
  16700,2021-08-22T15:12:47.741+02:00,   0.673E-02, 113.47723,   0.664E+04
  16800,2021-08-22T15:13:26.949+02:00,   0.666E-02, 114.13882,   0.667E+04
  16900,2021-08-22T15:14:05.927+02:00,   0.798E-02, 114.82838,   0.671E+04
  17000,2021-08-22T15:14:44.826+02:00,   0.712E-02, 115.55089,   0.675E+04
  17100,2021-08-22T15:15:23.929+02:00,   0.662E-02, 116.23246,   0.679E+04
  17200,2021-08-22T15:16:02.579+02:00,   0.628E-02, 116.88120,   0.683E+04
  17300,2021-08-22T15:16:41.260+02:00,   0.712E-02, 117.55912,   0.687E+04
  17400,2021-08-22T15:17:20.618+02:00,   0.756E-02, 118.25827,   0.691E+04
  17500,2021-08-22T15:17:59.495+02:00,   0.732E-02, 118.98774,   0.695E+04
  17600,2021-08-22T15:18:38.186+02:00,   0.701E-02, 119.69109,   0.698E+04
  17700,2021-08-22T15:19:16.985+02:00,   0.760E-02, 120.39780,   0.702E+04
  17800,2021-08-22T15:19:55.905+02:00,   0.726E-02, 121.11859,   0.706E+04
  17900,2021-08-22T15:20:34.535+02:00,   0.726E-02, 121.84463,   0.710E+04
  18000,2021-08-22T15:21:13.534+02:00,   0.712E-02, 122.54351,   0.714E+04
  18100,2021-08-22T15:21:53.019+02:00,   0.658E-02, 123.24848,   0.718E+04
  18200,2021-08-22T15:22:31.734+02:00,   0.733E-02, 123.90947,   0.722E+04
  18300,2021-08-22T15:23:10.665+02:00,   0.700E-02, 124.60760,   0.725E+04
  18400,2021-08-22T15:23:49.507+02:00,   0.680E-02, 125.30384,   0.729E+04
  18500,2021-08-22T15:24:28.130+02:00,   0.650E-02, 125.99420,   0.733E+04
  18600,2021-08-22T15:25:07.207+02:00,   0.725E-02, 126.66885,   0.737E+04
  18700,2021-08-22T15:25:46.143+02:00,   0.716E-02, 127.37183,   0.741E+04
  18800,2021-08-22T15:26:24.657+02:00,   0.709E-02, 128.07257,   0.745E+04
  18900,2021-08-22T15:27:03.213+02:00,   0.770E-02, 128.79661,   0.749E+04
  19000,2021-08-22T15:27:42.206+02:00,   0.659E-02, 129.52286,   0.752E+04
  19100,2021-08-22T15:28:21.019+02:00,   0.677E-02, 130.19867,   0.756E+04
  19200,2021-08-22T15:28:59.705+02:00,   0.819E-02, 130.89780,   0.760E+04
  19300,2021-08-22T15:29:38.609+02:00,   0.786E-02, 131.65247,   0.764E+04
  19400,2021-08-22T15:30:17.768+02:00,   0.717E-02, 132.39163,   0.768E+04
  19500,2021-08-22T15:30:56.456+02:00,   0.755E-02, 133.08187,   0.772E+04
  19600,2021-08-22T15:31:35.872+02:00,   0.745E-02, 133.81513,   0.776E+04
  19700,2021-08-22T15:32:14.703+02:00,   0.757E-02, 134.52070,   0.780E+04
  19800,2021-08-22T15:32:53.659+02:00,   0.712E-02, 135.19125,   0.783E+04
  19900,2021-08-22T15:33:32.481+02:00,   0.631E-02, 135.84856,   0.787E+04
  20000,2021-08-22T15:34:11.437+02:00,   0.752E-02, 136.55090,   0.791E+04
  20100,2021-08-22T15:34:50.079+02:00,   0.652E-02, 137.25310,   0.795E+04
  20200,2021-08-22T15:35:28.636+02:00,   0.710E-02, 137.93831,   0.799E+04
  20300,2021-08-22T15:36:07.914+02:00,   0.740E-02, 138.67045,   0.803E+04
  20400,2021-08-22T15:36:47.451+02:00,   0.629E-02, 139.36381,   0.807E+04
  20500,2021-08-22T15:37:26.143+02:00,   0.614E-02, 139.99467,   0.811E+04
  20600,2021-08-22T15:38:05.108+02:00,   0.650E-02, 140.69238,   0.814E+04
  20700,2021-08-22T15:38:44.215+02:00,   0.610E-02, 141.37422,   0.818E+04
  20800,2021-08-22T15:39:23.039+02:00,   0.738E-02, 142.05792,   0.822E+04
  20900,2021-08-22T15:40:03.221+02:00,   0.695E-02, 142.76610,   0.826E+04
  21000,2021-08-22T15:40:42.448+02:00,   0.708E-02, 143.46573,   0.830E+04
  21100,2021-08-22T15:41:21.517+02:00,   0.654E-02, 144.17165,   0.834E+04
  21200,2021-08-22T15:42:01.158+02:00,   0.643E-02, 144.86540,   0.838E+04
  21300,2021-08-22T15:42:41.037+02:00,   0.661E-02, 145.50255,   0.842E+04
  21400,2021-08-22T15:43:20.811+02:00,   0.713E-02, 146.25333,   0.846E+04
  21500,2021-08-22T15:44:00.437+02:00,   0.808E-02, 146.99577,   0.850E+04
  21600,2021-08-22T15:44:40.760+02:00,   0.742E-02, 147.74529,   0.854E+04
  21700,2021-08-22T15:45:20.188+02:00,   0.645E-02, 148.44511,   0.858E+04
  21800,2021-08-22T15:45:59.346+02:00,   0.701E-02, 149.12212,   0.862E+04
  21900,2021-08-22T15:46:38.718+02:00,   0.760E-02, 149.83053,   0.865E+04
  22000,2021-08-22T15:47:17.827+02:00,   0.623E-02, 150.50227,   0.869E+04
  22100,2021-08-22T15:47:56.953+02:00,   0.714E-02, 151.19361,   0.873E+04
  22200,2021-08-22T15:48:36.681+02:00,   0.725E-02, 151.89092,   0.877E+04
  22300,2021-08-22T15:49:15.474+02:00,   0.725E-02, 152.61595,   0.881E+04
  22400,2021-08-22T15:49:54.383+02:00,   0.698E-02, 153.31743,   0.885E+04
  22500,2021-08-22T15:50:33.403+02:00,   0.751E-02, 154.04911,   0.889E+04
  22600,2021-08-22T15:51:12.456+02:00,   0.743E-02, 154.78641,   0.893E+04
  22700,2021-08-22T15:51:51.752+02:00,   0.723E-02, 155.52172,   0.897E+04
  22800,2021-08-22T15:52:31.095+02:00,   0.712E-02, 156.23299,   0.900E+04
  22900,2021-08-22T15:53:10.237+02:00,   0.686E-02, 156.94210,   0.904E+04
  23000,2021-08-22T15:53:49.466+02:00,   0.712E-02, 157.65005,   0.908E+04
  23100,2021-08-22T15:54:28.775+02:00,   0.741E-02, 158.38756,   0.912E+04
  23200,2021-08-22T15:55:08.000+02:00,   0.741E-02, 159.12840,   0.916E+04
  23300,2021-08-22T15:55:46.631+02:00,   0.630E-02, 159.85113,   0.920E+04
  23400,2021-08-22T15:56:25.537+02:00,   0.672E-02, 160.55435,   0.924E+04
  23500,2021-08-22T15:57:04.640+02:00,   0.625E-02, 161.26839,   0.928E+04
  23600,2021-08-22T15:57:43.188+02:00,   0.746E-02, 161.91676,   0.931E+04
  23700,2021-08-22T15:58:22.792+02:00,   0.660E-02, 162.63197,   0.935E+04
  23800,2021-08-22T15:59:01.727+02:00,   0.718E-02, 163.32876,   0.939E+04
  23900,2021-08-22T15:59:40.660+02:00,   0.754E-02, 164.05569,   0.943E+04
  24000,2021-08-22T16:00:19.787+02:00,   0.627E-02, 164.72628,   0.947E+04
  24100,2021-08-22T16:00:58.885+02:00,   0.665E-02, 165.43599,   0.951E+04
  24200,2021-08-22T16:01:37.670+02:00,   0.722E-02, 166.12674,   0.955E+04
  24300,2021-08-22T16:02:17.108+02:00,   0.741E-02, 166.84053,   0.959E+04
