,,s,s,s
  76800,2021-08-22T23:09:55.369+02:00,   0.405E-02, 417.28682,   0.352E+05
  76900,2021-08-22T23:10:52.098+02:00,   0.351E-02, 417.64320,   0.352E+05
  77000,2021-08-22T23:11:49.172+02:00,   0.392E-02, 417.99367,   0.353E+05
  77100,2021-08-22T23:12:45.936+02:00,   0.364E-02, 418.34444,   0.353E+05
  77200,2021-08-22T23:13:42.509+02:00,   0.319E-02, 418.68708,   0.354E+05
  77300,2021-08-22T23:14:39.495+02:00,   0.337E-02, 419.04068,   0.354E+05
  77400,2021-08-22T23:15:36.023+02:00,   0.325E-02, 419.37748,   0.355E+05
  77500,2021-08-22T23:16:33.172+02:00,   0.334E-02, 419.72344,   0.355E+05
  77600,2021-08-22T23:17:29.900+02:00,   0.377E-02, 420.07101,   0.356E+05
  77700,2021-08-22T23:18:26.732+02:00,   0.309E-02, 420.41926,   0.357E+05
  77800,2021-08-22T23:19:24.099+02:00,   0.337E-02, 420.76360,   0.357E+05
  77900,2021-08-22T23:20:20.414+02:00,   0.335E-02, 421.10322,   0.358E+05
  78000,2021-08-22T23:21:17.419+02:00,   0.354E-02, 421.45094,   0.358E+05
  78100,2021-08-22T23:22:13.607+02:00,   0.374E-02, 421.79561,   0.359E+05
  78200,2021-08-22T23:23:10.404+02:00,   0.335E-02, 422.14665,   0.359E+05
  78300,2021-08-22T23:24:07.333+02:00,   0.366E-02, 422.49325,   0.360E+05
  78400,2021-08-22T23:25:03.571+02:00,   0.373E-02, 422.83235,   0.361E+05
  78500,2021-08-22T23:26:00.429+02:00,   0.356E-02, 423.17429,   0.361E+05
  78600,2021-08-22T23:26:57.183+02:00,   0.344E-02, 423.52674,   0.362E+05
  78700,2021-08-22T23:27:54.710+02:00,   0.334E-02, 423.87244,   0.362E+05
  78800,2021-08-22T23:28:51.682+02:00,   0.269E-02, 424.21539,   0.363E+05
  78900,2021-08-22T23:29:48.137+02:00,   0.364E-02, 424.56209,   0.363E+05
  79000,2021-08-22T23:30:45.097+02:00,   0.354E-02, 424.90839,   0.364E+05
  79100,2021-08-22T23:31:41.791+02:00,   0.368E-02, 425.25918,   0.365E+05
  79200,2021-08-22T23:32:38.802+02:00,   0.358E-02, 425.60793,   0.365E+05
  79300,2021-08-22T23:33:35.401+02:00,   0.347E-02, 425.95996,   0.366E+05
  79400,2021-08-22T23:34:32.433+02:00,   0.387E-02, 426.31144,   0.366E+05
  79500,2021-08-22T23:35:29.882+02:00,   0.366E-02, 426.66149,   0.367E+05
  79600,2021-08-22T23:36:26.522+02:00,   0.370E-02, 427.01526,   0.367E+05
  79700,2021-08-22T23:37:24.006+02:00,   0.340E-02, 427.35368,   0.368E+05
  79800,2021-08-22T23:38:21.175+02:00,   0.396E-02, 427.70508,   0.369E+05
  79900,2021-08-22T23:39:18.684+02:00,   0.419E-02, 428.05701,   0.369E+05
  80000,2021-08-22T23:40:15.970+02:00,   0.356E-02, 428.40310,   0.370E+05
  80100,2021-08-22T23:41:12.916+02:00,   0.340E-02, 428.74955,   0.370E+05
  80200,2021-08-22T23:42:10.184+02:00,   0.346E-02, 429.10810,   0.371E+05
  80300,2021-08-22T23:43:06.929+02:00,   0.347E-02, 429.44504,   0.371E+05
  80400,2021-08-22T23:44:03.842+02:00,   0.379E-02, 429.79646,   0.372E+05
  80500,2021-08-22T23:45:00.271+02:00,   0.322E-02, 430.14066,   0.373E+05
  80600,2021-08-22T23:45:56.536+02:00,   0.369E-02, 430.49024,   0.373E+05
  80700,2021-08-22T23:46:53.425+02:00,   0.394E-02, 430.84379,   0.374E+05
  80800,2021-08-22T23:47:49.634+02:00,   0.365E-02, 431.19320,   0.374E+05
  80900,2021-08-22T23:48:46.286+02:00,   0.401E-02, 431.53704,   0.375E+05
  81000,2021-08-22T23:49:43.096+02:00,   0.361E-02, 431.88572,   0.375E+05
  81100,2021-08-22T23:50:39.790+02:00,   0.398E-02, 432.23146,   0.376E+05
  81200,2021-08-22T23:51:36.299+02:00,   0.359E-02, 432.58332,   0.376E+05
  81300,2021-08-22T23:52:32.651+02:00,   0.398E-02, 432.94423,   0.377E+05
  81400,2021-08-22T23:53:29.426+02:00,   0.369E-02, 433.30089,   0.378E+05
  81500,2021-08-22T23:54:25.817+02:00,   0.364E-02, 433.65430,   0.378E+05
  81600,2021-08-22T23:55:22.394+02:00,   0.331E-02, 434.00649,   0.379E+05
  81700,2021-08-22T23:56:18.543+02:00,   0.356E-02, 434.35348,   0.379E+05
  81800,2021-08-22T23:57:15.396+02:00,   0.350E-02, 434.69589,   0.380E+05
  81900,2021-08-22T23:58:12.800+02:00,   0.373E-02, 435.03914,   0.380E+05
  82000,2021-08-22T23:59:09.524+02:00,   0.360E-02, 435.39688,   0.381E+05
  82100,2021-08-23T00:00:06.220+02:00,   0.330E-02, 435.74994,   0.382E+05
  82200,2021-08-23T00:01:03.088+02:00,   0.348E-02, 436.10703,   0.382E+05
  82300,2021-08-23T00:02:00.128+02:00,   0.316E-02, 436.45616,   0.383E+05
  82400,2021-08-23T00:02:57.186+02:00,   0.391E-02, 436.80968,   0.383E+05
  82500,2021-08-23T00:03:54.040+02:00,   0.353E-02, 437.16329,   0.384E+05
  82600,2021-08-23T00:04:51.120+02:00,   0.377E-02, 437.51995,   0.384E+05
  82700,2021-08-23T00:05:48.082+02:00,   0.311E-02, 437.86721,   0.385E+05
  82800,2021-08-23T00:06:45.386+02:00,   0.364E-02, 438.20815,   0.386E+05
  82900,2021-08-23T00:07:42.204+02:00,   0.327E-02, 438.56547,   0.386E+05
  83000,2021-08-23T00:08:39.318+02:00,   0.334E-02, 438.91620,   0.387E+05
  83100,2021-08-23T00:09:36.260+02:00,   0.309E-02, 439.28289,   0.387E+05
  83200,2021-08-23T00:10:33.453+02:00,   0.368E-02, 439.61580,   0.388E+05
  83300,2021-08-23T00:11:30.555+02:00,   0.384E-02, 439.97009,   0.388E+05
  83400,2021-08-23T00:12:27.561+02:00,   0.373E-02, 440.31822,   0.389E+05
  83500,2021-08-23T00:13:24.662+02:00,   0.353E-02, 440.67099,   0.390E+05
  83600,2021-08-23T00:14:21.618+02:00,   0.338E-02, 441.01928,   0.390E+05
  83700,2021-08-23T00:15:17.901+02:00,   0.383E-02, 441.37501,   0.391E+05
  83800,2021-08-23T00:16:14.827+02:00,   0.362E-02, 441.72835,   0.391E+05
  83900,2021-08-23T00:17:11.041+02:00,   0.319E-02, 442.07139,   0.392E+05
  84000,2021-08-23T00:18:08.275+02:00,   0.362E-02, 442.41762,   0.392E+05
  84100,2021-08-23T00:19:05.329+02:00,   0.326E-02, 442.75567,   0.393E+05
  84200,2021-08-23T00:20:02.150+02:00,   0.363E-02, 443.10866,   0.393E+05
  84300,2021-08-23T00:20:59.878+02:00,   0.321E-02, 443.45589,   0.394E+05
  84400,2021-08-23T00:21:56.335+02:00,   0.390E-02, 443.81553,   0.395E+05
  84500,2021-08-23T00:22:53.584+02:00,   0.331E-02, 444.16262,   0.395E+05
  84600,2021-08-23T00:23:50.787+02:00,   0.369E-02, 444.51488,   0.396E+05
  84700,2021-08-23T00:24:47.804+02:00,   0.380E-02, 444.87154,   0.396E+05
  84800,2021-08-23T00:25:44.713+02:00,   0.337E-02, 445.22134,   0.397E+05
  84900,2021-08-23T00:26:41.463+02:00,   0.362E-02, 445.56475,   0.397E+05
  85000,2021-08-23T00:27:38.968+02:00,   0.357E-02, 445.90962,   0.398E+05
  85100,2021-08-23T00:28:36.044+02:00,   0.369E-02, 446.26311,   0.399E+05
  85200,2021-08-23T00:29:33.927+02:00,   0.349E-02, 446.61500,   0.399E+05
  85300,2021-08-23T00:30:31.348+02:00,   0.373E-02, 446.96506,   0.400E+05
  85400,2021-08-23T00:31:28.984+02:00,   0.371E-02, 447.32541,   0.400E+05
  85500,2021-08-23T00:32:26.477+02:00,   0.340E-02, 447.67445,   0.401E+05
  85600,2021-08-23T00:33:23.178+02:00,   0.322E-02, 448.02375,   0.401E+05
  85700,2021-08-23T00:34:20.306+02:00,   0.312E-02, 448.37112,   0.402E+05
  85800,2021-08-23T00:35:17.239+02:00,   0.336E-02, 448.72702,   0.403E+05
  85900,2021-08-23T00:36:14.192+02:00,   0.308E-02, 449.07931,   0.403E+05
  86000,2021-08-23T00:37:10.867+02:00,   0.351E-02, 449.42780,   0.404E+05
  86100,2021-08-23T00:38:08.215+02:00,   0.355E-02, 449.76908,   0.404E+05
  86200,2021-08-23T00:39:05.746+02:00,   0.341E-02, 450.11476,   0.405E+05
  86300,2021-08-23T00:40:02.835+02:00,   0.323E-02, 450.46089,   0.405E+05
  86400,2021-08-23T00:41:00.094+02:00,   0.346E-02, 450.80689,   0.406E+05
  86500,2021-08-23T00:41:57.130+02:00,   0.365E-02, 451.15152,   0.407E+05
  86600,2021-08-23T00:42:54.617+02:00,   0.365E-02, 451.49915,   0.407E+05
  86700,2021-08-23T00:43:51.709+02:00,   0.340E-02, 451.84604,   0.408E+05
  86800,2021-08-23T00:44:48.641+02:00,   0.358E-02, 452.18838,   0.408E+05
  86900,2021-08-23T00:45:46.207+02:00,   0.298E-02, 452.54276,   0.409E+05
  87000,2021-08-23T00:46:42.918+02:00,   0.358E-02, 452.89351,   0.409E+05
  87100,2021-08-23T00:47:40.057+02:00,   0.343E-02, 453.23308,   0.410E+05
  87200,2021-08-23T00:48:36.430+02:00,   0.327E-02, 453.57946,   0.411E+05
  87300,2021-08-23T00:49:33.921+02:00,   0.359E-02, 453.92516,   0.411E+05
  87400,2021-08-23T00:50:31.481+02:00,   0.294E-02, 454.26701,   0.412E+05
  87500,2021-08-23T00:51:28.611+02:00,   0.299E-02, 454.62339,   0.412E+05
  87600,2021-08-23T00:52:26.452+02:00,   0.371E-02, 454.98377,   0.413E+05
  87700,2021-08-23T00:53:23.380+02:00,   0.330E-02, 455.33834,   0.413E+05
  87800,2021-08-23T00:54:20.704+02:00,   0.284E-02, 455.67993,   0.414E+05
  87900,2021-08-23T00:55:17.774+02:00,   0.346E-02, 456.02555,   0.415E+05
  88000,2021-08-23T00:56:14.876+02:00,   0.313E-02, 456.36292,   0.415E+05
  88100,2021-08-23T00:57:12.310+02:00,   0.378E-02, 456.71618,   0.416E+05
  88200,2021-08-23T00:58:09.788+02:00,   0.333E-02, 457.05417,   0.416E+05
  88300,2021-08-23T00:59:07.213+02:00,   0.359E-02, 457.40122,   0.417E+05
  88400,2021-08-23T01:00:04.267+02:00,   0.360E-02, 457.75120,   0.417E+05
  88500,2021-08-23T01:01:02.134+02:00,   0.311E-02, 458.09511,   0.418E+05
  88600,2021-08-23T01:01:59.360+02:00,   0.362E-02, 458.44418,   0.419E+05
  88700,2021-08-23T01:02:56.027+02:00,   0.357E-02, 458.79462,   0.419E+05
  88800,2021-08-23T01:03:53.648+02:00,   0.353E-02, 459.14336,   0.420E+05
  88900,2021-08-23T01:04:51.236+02:00,   0.331E-02, 459.49567,   0.420E+05
  89000,2021-08-23T01:05:49.038+02:00,   0.359E-02, 459.84823,   0.421E+05
  89100,2021-08-23T01:06:46.070+02:00,   0.267E-02, 460.19192,   0.421E+05
  89200,2021-08-23T01:07:43.952+02:00,   0.351E-02, 460.53447,   0.422E+05
  89300,2021-08-23T01:08:41.509+02:00,   0.309E-02, 460.87972,   0.423E+05
  89400,2021-08-23T01:09:38.802+02:00,   0.357E-02, 461.22849,   0.423E+05
  89500,2021-08-23T01:10:35.912+02:00,   0.347E-02, 461.57620,   0.424E+05
  89600,2021-08-23T01:11:33.176+02:00,   0.327E-02, 461.92675,   0.424E+05
  89700,2021-08-23T01:12:30.830+02:00,   0.319E-02, 462.26833,   0.425E+05
  89800,2021-08-23T01:13:28.169+02:00,   0.352E-02, 462.61145,   0.425E+05
  89900,2021-08-23T01:14:24.942+02:00,   0.347E-02, 462.95729,   0.426E+05
  90000,2021-08-23T01:15:22.764+02:00,   0.366E-02, 463.30638,   0.427E+05
  90100,2021-08-23T01:16:20.108+02:00,   0.321E-02, 463.64483,   0.427E+05
  90200,2021-08-23T01:17:17.860+02:00,   0.293E-02, 463.99708,   0.428E+05
  90300,2021-08-23T01:18:15.286+02:00,   0.380E-02, 464.33640,   0.428E+05
  90400,2021-08-23T01:19:13.496+02:00,   0.346E-02, 464.68447,   0.429E+05
  90500,2021-08-23T01:20:11.405+02:00,   0.349E-02, 465.03015,   0.429E+05
  90600,2021-08-23T01:21:08.767+02:00,   0.330E-02, 465.37549,   0.430E+05
  90700,2021-08-23T01:22:06.615+02:00,   0.287E-02, 465.71993,   0.431E+05
  90800,2021-08-23T01:23:03.963+02:00,   0.351E-02, 466.06957,   0.431E+05
  90900,2021-08-23T01:24:01.730+02:00,   0.340E-02, 466.42399,   0.432E+05
  91000,2021-08-23T01:24:59.286+02:00,   0.348E-02, 466.76669,   0.432E+05
  91100,2021-08-23T01:25:57.119+02:00,   0.294E-02, 467.11208,   0.433E+05
  91200,2021-08-23T01:26:54.748+02:00,   0.291E-02, 467.46103,   0.433E+05
  91300,2021-08-23T01:27:52.364+02:00,   0.305E-02, 467.80503,   0.434E+05
  91400,2021-08-23T01:28:50.570+02:00,   0.315E-02, 468.16321,   0.435E+05
  91500,2021-08-23T01:29:47.742+02:00,   0.319E-02, 468.51551,   0.435E+05
  91600,2021-08-23T01:30:45.426+02:00,   0.348E-02, 468.86041,   0.436E+05
  91700,2021-08-23T01:31:43.864+02:00,   0.367E-02, 469.20429,   0.436E+05
  91800,2021-08-23T01:32:41.357+02:00,   0.381E-02, 469.56363,   0.437E+05
  91900,2021-08-23T01:33:39.340+02:00,   0.370E-02, 469.91265,   0.438E+05
  92000,2021-08-23T01:34:36.543+02:00,   0.415E-02, 470.26041,   0.438E+05
  92100,2021-08-23T01:35:34.404+02:00,   0.378E-02, 470.60873,   0.439E+05
  92200,2021-08-23T01:36:31.520+02:00,   0.346E-02, 470.95594,   0.439E+05
  92300,2021-08-23T01:37:29.015+02:00,   0.333E-02, 471.31007,   0.440E+05
  92400,2021-08-23T01:38:26.712+02:00,   0.326E-02, 471.65734,   0.440E+05
  92500,2021-08-23T01:39:23.414+02:00,   0.330E-02, 472.00372,   0.441E+05
  92600,2021-08-23T01:40:20.489+02:00,   0.346E-02, 472.35897,   0.442E+05
  92700,2021-08-23T01:41:17.509+02:00,   0.355E-02, 472.70155,   0.442E+05
  92800,2021-08-23T01:42:15.346+02:00,   0.355E-02, 473.04677,   0.443E+05
  92900,2021-08-23T01:43:11.989+02:00,   0.367E-02, 473.39482,   0.443E+05
  93000,2021-08-23T01:44:09.430+02:00,   0.364E-02, 473.74089,   0.444E+05
  93100,2021-08-23T01:45:07.649+02:00,   0.285E-02, 474.07633,   0.444E+05
  93200,2021-08-23T01:46:04.845+02:00,   0.347E-02, 474.41357,   0.445E+05
  93300,2021-08-23T01:47:03.036+02:00,   0.348E-02, 474.75683,   0.446E+05
  93400,2021-08-23T01:48:00.778+02:00,   0.370E-02, 475.11284,   0.446E+05
  93500,2021-08-23T01:48:59.478+02:00,   0.293E-02, 475.46514,   0.447E+05
  93600,2021-08-23T01:49:57.841+02:00,   0.348E-02, 475.81408,   0.447E+05
  93700,2021-08-23T01:50:55.797+02:00,   0.361E-02, 476.16065,   0.448E+05
  93800,2021-08-23T01:51:53.884+02:00,   0.353E-02, 476.51245,   0.448E+05
  93900,2021-08-23T01:52:52.122+02:00,   0.382E-02, 476.86815,   0.449E+05
  94000,2021-08-23T01:53:51.167+02:00,   0.313E-02, 477.21088,   0.450E+05
  94100,2021-08-23T01:54:49.467+02:00,   0.318E-02, 477.55533,   0.450E+05
  94200,2021-08-23T01:55:48.100+02:00,   0.337E-02, 477.89407,   0.451E+05
  94300,2021-08-23T01:56:46.517+02:00,   0.344E-02, 478.25742,   0.451E+05
  94400,2021-08-23T01:57:44.837+02:00,   0.346E-02, 478.60430,   0.452E+05
  94500,2021-08-23T01:58:43.084+02:00,   0.354E-02, 478.95057,   0.453E+05
  94600,2021-08-23T01:59:41.165+02:00,   0.341E-02, 479.29912,   0.453E+05
  94700,2021-08-23T02:00:39.573+02:00,   0.362E-02, 479.64703,   0.454E+05
  94800,2021-08-23T02:01:37.703+02:00,   0.344E-02, 479.99699,   0.454E+05
  94900,2021-08-23T02:02:35.841+02:00,   0.342E-02, 480.35580,   0.455E+05
  95000,2021-08-23T02:03:34.165+02:00,   0.334E-02, 480.70256,   0.455E+05
  95100,2021-08-23T02:04:32.679+02:00,   0.297E-02, 481.05166,   0.456E+05
  95200,2021-08-23T02:05:30.868+02:00,   0.366E-02, 481.40471,   0.457E+05
  95300,2021-08-23T02:06:28.347+02:00,   0.367E-02, 481.76427,   0.457E+05
  95400,2021-08-23T02:07:26.722+02:00,   0.374E-02, 482.12310,   0.458E+05
  95500,2021-08-23T02:08:25.338+02:00,   0.314E-02, 482.47495,   0.458E+05
  95600,2021-08-23T02:09:22.852+02:00,   0.343E-02, 482.81650,   0.459E+05
  95700,2021-08-23T02:10:21.281+02:00,   0.381E-02, 483.16843,   0.459E+05
  95800,2021-08-23T02:11:18.752+02:00,   0.375E-02, 483.52147,   0.460E+05
  95900,2021-08-23T02:12:16.977+02:00,   0.324E-02, 483.86443,   0.461E+05
  96000,2021-08-23T02:13:14.988+02:00,   0.338E-02, 484.21742,   0.461E+05
  96100,2021-08-23T02:14:12.916+02:00,   0.325E-02, 484.56117,   0.462E+05
  96200,2021-08-23T02:15:10.658+02:00,   0.341E-02, 484.90137,   0.462E+05
  96300,2021-08-23T02:16:08.592+02:00,   0.331E-02, 485.24124,   0.463E+05
  96400,2021-08-23T02:17:06.598+02:00,   0.353E-02, 485.59537,   0.464E+05
  96500,2021-08-23T02:18:04.179+02:00,   0.337E-02, 485.95385,   0.464E+05
  96600,2021-08-23T02:19:02.315+02:00,   0.376E-02, 486.30776,   0.465E+05
  96700,2021-08-23T02:20:00.607+02:00,   0.417E-02, 486.65581,   0.465E+05
  96800,2021-08-23T02:20:58.151+02:00,   0.340E-02, 487.00982,   0.466E+05
  96900,2021-08-23T02:21:56.789+02:00,   0.312E-02, 487.35637,   0.466E+05
  97000,2021-08-23T02:22:54.855+02:00,   0.347E-02, 487.70568,   0.467E+05
  97100,2021-08-23T02:23:53.093+02:00,   0.345E-02, 488.04988,   0.468E+05
  97200,2021-08-23T02:24:51.240+02:00,   0.307E-02, 488.40091,   0.468E+05
  97300,2021-08-23T02:25:48.927+02:00,   0.338E-02, 488.75044,   0.469E+05
  97400,2021-08-23T02:26:46.613+02:00,   0.370E-02, 489.09649,   0.469E+05
  97500,2021-08-23T02:27:44.211+02:00,   0.326E-02, 489.43948,   0.470E+05
  97600,2021-08-23T02:28:41.657+02:00,   0.298E-02, 489.79028,   0.470E+05
  97700,2021-08-23T02:29:39.133+02:00,   0.335E-02, 490.14342,   0.471E+05
  97800,2021-08-23T02:30:37.196+02:00,   0.332E-02, 490.48916,   0.472E+05
  97900,2021-08-23T02:31:34.875+02:00,   0.325E-02, 490.84422,   0.472E+05
  98000,2021-08-23T02:32:32.675+02:00,   0.320E-02, 491.20026,   0.473E+05
  98100,2021-08-23T02:33:30.793+02:00,   0.333E-02, 491.55135,   0.473E+05
  98200,2021-08-23T02:34:28.108+02:00,   0.352E-02, 491.90139,   0.474E+05
  98300,2021-08-23T02:35:26.527+02:00,   0.345E-02, 492.24157,   0.474E+05
  98400,2021-08-23T02:36:24.025+02:00,   0.371E-02, 492.58227,   0.475E+05
  98500,2021-08-23T02:37:21.889+02:00,   0.358E-02, 492.93218,   0.476E+05
  98600,2021-08-23T02:38:19.582+02:00,   0.359E-02, 493.27287,   0.476E+05
  98700,2021-08-23T02:39:17.303+02:00,   0.311E-02, 493.62500,   0.477E+05
  98800,2021-08-23T02:40:15.144+02:00,   0.324E-02, 493.97086,   0.477E+05
  98900,2021-08-23T02:41:12.516+02:00,   0.416E-02, 494.32072,   0.478E+05
  99000,2021-08-23T02:42:10.489+02:00,   0.335E-02, 494.67074,   0.479E+05
  99100,2021-08-23T02:43:08.266+02:00,   0.350E-02, 495.00745,   0.479E+05
  99200,2021-08-23T02:44:05.009+02:00,   0.351E-02, 495.35897,   0.480E+05
  99300,2021-08-23T02:45:02.567+02:00,   0.382E-02, 495.71231,   0.480E+05
  99400,2021-08-23T02:45:59.928+02:00,   0.331E-02, 496.06269,   0.481E+05
  99500,2021-08-23T02:46:57.747+02:00,   0.353E-02, 496.41008,   0.481E+05
  99600,2021-08-23T02:47:55.156+02:00,   0.308E-02, 496.76037,   0.482E+05
  99700,2021-08-23T02:48:53.126+02:00,   0.343E-02, 497.11139,   0.483E+05
  99800,2021-08-23T02:49:50.441+02:00,   0.352E-02, 497.46313,   0.483E+05
  99900,2021-08-23T02:50:47.661+02:00,   0.381E-02, 497.81654,   0.484E+05
 100000,2021-08-23T02:51:45.650+02:00,   0.366E-02, 498.16550,   0.484E+05
 100100,2021-08-23T02:52:43.058+02:00,   0.371E-02, 498.52175,   0.485E+05
 100200,2021-08-23T02:53:40.967+02:00,   0.389E-02, 498.86873,   0.485E+05
 100300,2021-08-23T02:54:39.175+02:00,   0.326E-02, 499.22077,   0.486E+05
 100400,2021-08-23T02:55:36.990+02:00,   0.334E-02, 499.56478,   0.487E+05
 100500,2021-08-23T02:56:34.867+02:00,   0.343E-02, 499.91923,   0.487E+05
 100600,2021-08-23T02:57:32.928+02:00,   0.317E-02, 500.25880,   0.488E+05
 100700,2021-08-23T02:58:30.970+02:00,   0.358E-02, 500.60502,   0.488E+05
 100800,2021-08-23T02:59:29.135+02:00,   0.325E-02, 500.94938,   0.489E+05
 100900,2021-08-23T03:00:27.317+02:00,   0.339E-02, 501.29683,   0.489E+05
 101000,2021-08-23T03:01:25.916+02:00,   0.292E-02, 501.65707,   0.490E+05
 101100,2021-08-23T03:02:23.616+02:00,   0.377E-02, 502.00501,   0.491E+05
 101200,2021-08-23T03:03:21.858+02:00,   0.332E-02, 502.34650,   0.491E+05
 101300,2021-08-23T03:04:19.709+02:00,   0.313E-02, 502.70676,   0.492E+05
 101400,2021-08-23T03:05:17.735+02:00,   0.306E-02, 503.05110,   0.492E+05
 101500,2021-08-23T03:06:15.209+02:00,   0.340E-02, 503.39970,   0.493E+05
 101600,2021-08-23T03:07:13.240+02:00,   0.361E-02, 503.74225,   0.494E+05
 101700,2021-08-23T03:08:11.719+02:00,   0.368E-02, 504.08324,   0.494E+05
 101800,2021-08-23T03:09:09.649+02:00,   0.359E-02, 504.42901,   0.495E+05
 101900,2021-08-23T03:10:07.905+02:00,   0.340E-02, 504.78855,   0.495E+05
 102000,2021-08-23T03:11:05.766+02:00,   0.352E-02, 505.13521,   0.496E+05
 102100,2021-08-23T03:12:03.648+02:00,   0.340E-02, 505.48892,   0.496E+05
 102200,2021-08-23T03:13:01.363+02:00,   0.316E-02, 505.84702,   0.497E+05
 102300,2021-08-23T03:13:59.017+02:00,   0.384E-02, 506.19348,   0.498E+05
 102400,2021-08-23T03:14:57.195+02:00,   0.389E-02, 506.54711,   0.498E+05
 102500,2021-08-23T03:15:55.104+02:00,   0.291E-02, 506.88296,   0.499E+05
 102600,2021-08-23T03:16:53.380+02:00,   0.337E-02, 507.22884,   0.499E+05
 102700,2021-08-23T03:17:51.409+02:00,   0.359E-02, 507.57737,   0.500E+05
 102800,2021-08-23T03:18:49.620+02:00,   0.324E-02, 507.92586,   0.500E+05
 102900,2021-08-23T03:19:47.657+02:00,   0.335E-02, 508.27336,   0.501E+05
