,,s,s,s
 103000,2021-08-23T03:20:45.362+02:00,   0.335E-02, 508.63133,   0.502E+05
 103100,2021-08-23T03:21:43.014+02:00,   0.368E-02, 508.98649,   0.502E+05
 103200,2021-08-23T03:22:41.052+02:00,   0.290E-02, 509.33269,   0.503E+05
 103300,2021-08-23T03:23:39.437+02:00,   0.325E-02, 509.68021,   0.503E+05
 103400,2021-08-23T03:24:37.454+02:00,   0.335E-02, 510.02003,   0.504E+05
 103500,2021-08-23T03:25:35.074+02:00,   0.354E-02, 510.38066,   0.505E+05
 103600,2021-08-23T03:26:33.341+02:00,   0.335E-02, 510.72766,   0.505E+05
 103700,2021-08-23T03:27:31.202+02:00,   0.379E-02, 511.08951,   0.506E+05
 103800,2021-08-23T03:28:29.931+02:00,   0.321E-02, 511.43286,   0.506E+05
 103900,2021-08-23T03:29:27.565+02:00,   0.348E-02, 511.78947,   0.507E+05
 104000,2021-08-23T03:30:25.664+02:00,   0.366E-02, 512.14069,   0.507E+05
 104100,2021-08-23T03:31:23.975+02:00,   0.352E-02, 512.48984,   0.508E+05
 104200,2021-08-23T03:32:21.397+02:00,   0.311E-02, 512.83927,   0.509E+05
 104300,2021-08-23T03:33:18.974+02:00,   0.320E-02, 513.18799,   0.509E+05
 104400,2021-08-23T03:34:16.334+02:00,   0.359E-02, 513.53309,   0.510E+05
 104500,2021-08-23T03:35:13.898+02:00,   0.365E-02, 513.88437,   0.510E+05
 104600,2021-08-23T03:36:12.146+02:00,   0.358E-02, 514.22743,   0.511E+05
 104700,2021-08-23T03:37:09.549+02:00,   0.383E-02, 514.58022,   0.511E+05
 104800,2021-08-23T03:38:07.301+02:00,   0.364E-02, 514.93277,   0.512E+05
 104900,2021-08-23T03:39:04.966+02:00,   0.346E-02, 515.27882,   0.513E+05
 105000,2021-08-23T03:40:02.845+02:00,   0.388E-02, 515.62339,   0.513E+05
 105100,2021-08-23T03:41:00.188+02:00,   0.374E-02, 515.98342,   0.514E+05
 105200,2021-08-23T03:41:57.790+02:00,   0.332E-02, 516.34024,   0.514E+05
 105300,2021-08-23T03:42:58.330+02:00,   0.291E-02, 516.68384,   0.515E+05
 105400,2021-08-23T03:43:56.475+02:00,   0.344E-02, 517.03324,   0.515E+05
 105500,2021-08-23T03:44:54.857+02:00,   0.296E-02, 517.37791,   0.516E+05
 105600,2021-08-23T03:45:52.569+02:00,   0.302E-02, 517.72623,   0.517E+05
 105700,2021-08-23T03:46:51.041+02:00,   0.344E-02, 518.08153,   0.517E+05
 105800,2021-08-23T03:47:49.256+02:00,   0.366E-02, 518.43166,   0.518E+05
 105900,2021-08-23T03:48:47.703+02:00,   0.333E-02, 518.78444,   0.518E+05
 106000,2021-08-23T03:49:46.178+02:00,   0.350E-02, 519.12776,   0.519E+05
 106100,2021-08-23T03:50:44.500+02:00,   0.380E-02, 519.46626,   0.520E+05
 106200,2021-08-23T03:51:43.340+02:00,   0.360E-02, 519.80576,   0.520E+05
 106300,2021-08-23T03:52:41.812+02:00,   0.347E-02, 520.14242,   0.521E+05
 106400,2021-08-23T03:53:40.745+02:00,   0.397E-02, 520.49557,   0.521E+05
 106500,2021-08-23T03:54:39.214+02:00,   0.359E-02, 520.84788,   0.522E+05
 106600,2021-08-23T03:55:37.090+02:00,   0.349E-02, 521.19927,   0.522E+05
 106700,2021-08-23T03:56:35.202+02:00,   0.343E-02, 521.55158,   0.523E+05
 106800,2021-08-23T03:57:32.967+02:00,   0.370E-02, 521.90366,   0.524E+05
 106900,2021-08-23T03:58:31.273+02:00,   0.354E-02, 522.25870,   0.524E+05
 107000,2021-08-23T03:59:29.141+02:00,   0.391E-02, 522.61730,   0.525E+05
 107100,2021-08-23T04:00:27.266+02:00,   0.356E-02, 522.96794,   0.525E+05
 107200,2021-08-23T04:01:25.118+02:00,   0.327E-02, 523.31914,   0.526E+05
 107300,2021-08-23T04:02:22.387+02:00,   0.324E-02, 523.66116,   0.527E+05
 107400,2021-08-23T04:03:20.719+02:00,   0.369E-02, 524.01709,   0.527E+05
 107500,2021-08-23T04:04:18.343+02:00,   0.343E-02, 524.37872,   0.528E+05
 107600,2021-08-23T04:05:16.375+02:00,   0.320E-02, 524.72195,   0.528E+05
 107700,2021-08-23T04:06:14.310+02:00,   0.378E-02, 525.07728,   0.529E+05
 107800,2021-08-23T04:07:11.616+02:00,   0.319E-02, 525.42630,   0.529E+05
 107900,2021-08-23T04:08:08.884+02:00,   0.365E-02, 525.77983,   0.530E+05
 108000,2021-08-23T04:09:06.475+02:00,   0.294E-02, 526.12935,   0.531E+05
 108100,2021-08-23T04:10:03.698+02:00,   0.361E-02, 526.47976,   0.531E+05
 108200,2021-08-23T04:11:01.171+02:00,   0.379E-02, 526.82179,   0.532E+05
 108300,2021-08-23T04:11:58.460+02:00,   0.363E-02, 527.16580,   0.532E+05
 108400,2021-08-23T04:12:56.333+02:00,   0.363E-02, 527.51771,   0.533E+05
 108500,2021-08-23T04:13:53.965+02:00,   0.354E-02, 527.86623,   0.533E+05
 108600,2021-08-23T04:14:51.642+02:00,   0.375E-02, 528.21720,   0.534E+05
 108700,2021-08-23T04:15:49.522+02:00,   0.394E-02, 528.56129,   0.535E+05
 108800,2021-08-23T04:16:47.350+02:00,   0.406E-02, 528.91468,   0.535E+05
 108900,2021-08-23T04:17:45.123+02:00,   0.320E-02, 529.25731,   0.536E+05
 109000,2021-08-23T04:18:42.700+02:00,   0.333E-02, 529.60524,   0.536E+05
 109100,2021-08-23T04:19:40.796+02:00,   0.312E-02, 529.94819,   0.537E+05
 109200,2021-08-23T04:20:39.507+02:00,   0.293E-02, 530.29777,   0.537E+05
 109300,2021-08-23T04:21:36.994+02:00,   0.369E-02, 530.64900,   0.538E+05
 109400,2021-08-23T04:22:34.796+02:00,   0.352E-02, 530.99778,   0.539E+05
 109500,2021-08-23T04:23:33.105+02:00,   0.386E-02, 531.34036,   0.539E+05
 109600,2021-08-23T04:24:31.492+02:00,   0.350E-02, 531.69152,   0.540E+05
 109700,2021-08-23T04:25:29.058+02:00,   0.357E-02, 532.04058,   0.540E+05
 109800,2021-08-23T04:26:27.538+02:00,   0.360E-02, 532.39830,   0.541E+05
 109900,2021-08-23T04:27:24.742+02:00,   0.357E-02, 532.74922,   0.542E+05
 110000,2021-08-23T04:28:22.603+02:00,   0.378E-02, 533.11125,   0.542E+05
 110100,2021-08-23T04:29:20.895+02:00,   0.366E-02, 533.46538,   0.543E+05
 110200,2021-08-23T04:30:18.708+02:00,   0.339E-02, 533.80735,   0.543E+05
 110300,2021-08-23T04:31:16.821+02:00,   0.327E-02, 534.16856,   0.544E+05
 110400,2021-08-23T04:32:14.152+02:00,   0.363E-02, 534.52068,   0.544E+05
 110500,2021-08-23T04:33:12.327+02:00,   0.387E-02, 534.86949,   0.545E+05
 110600,2021-08-23T04:34:10.573+02:00,   0.348E-02, 535.22177,   0.546E+05
 110700,2021-08-23T04:35:07.965+02:00,   0.363E-02, 535.57118,   0.546E+05
 110800,2021-08-23T04:36:06.349+02:00,   0.336E-02, 535.92218,   0.547E+05
 110900,2021-08-23T04:37:03.922+02:00,   0.368E-02, 536.27001,   0.547E+05
 111000,2021-08-23T04:38:02.136+02:00,   0.373E-02, 536.61257,   0.548E+05
 111100,2021-08-23T04:38:59.912+02:00,   0.311E-02, 536.96102,   0.548E+05
 111200,2021-08-23T04:39:57.938+02:00,   0.291E-02, 537.31483,   0.549E+05
 111300,2021-08-23T04:40:55.618+02:00,   0.327E-02, 537.66381,   0.550E+05
 111400,2021-08-23T04:41:52.432+02:00,   0.376E-02, 538.02264,   0.550E+05
 111500,2021-08-23T04:42:50.261+02:00,   0.302E-02, 538.37194,   0.551E+05
 111600,2021-08-23T04:43:47.741+02:00,   0.360E-02, 538.72157,   0.551E+05
 111700,2021-08-23T04:44:45.203+02:00,   0.305E-02, 539.06149,   0.552E+05
 111800,2021-08-23T04:45:42.929+02:00,   0.386E-02, 539.40755,   0.552E+05
 111900,2021-08-23T04:46:40.139+02:00,   0.381E-02, 539.76299,   0.553E+05
 112000,2021-08-23T04:47:37.517+02:00,   0.334E-02, 540.11645,   0.554E+05
 112100,2021-08-23T04:48:34.929+02:00,   0.348E-02, 540.46715,   0.554E+05
 112200,2021-08-23T04:49:33.130+02:00,   0.354E-02, 540.80977,   0.555E+05
 112300,2021-08-23T04:50:30.766+02:00,   0.327E-02, 541.14943,   0.555E+05
 112400,2021-08-23T04:51:28.266+02:00,   0.370E-02, 541.49583,   0.556E+05
 112500,2021-08-23T04:52:26.324+02:00,   0.341E-02, 541.84590,   0.556E+05
 112600,2021-08-23T04:53:23.613+02:00,   0.328E-02, 542.19727,   0.557E+05
 112700,2021-08-23T04:54:20.802+02:00,   0.371E-02, 542.54785,   0.558E+05
 112800,2021-08-23T04:55:18.361+02:00,   0.315E-02, 542.89812,   0.558E+05
 112900,2021-08-23T04:56:15.984+02:00,   0.366E-02, 543.24872,   0.559E+05
 113000,2021-08-23T04:57:13.266+02:00,   0.364E-02, 543.59506,   0.559E+05
 113100,2021-08-23T04:58:11.238+02:00,   0.351E-02, 543.93774,   0.560E+05
 113200,2021-08-23T04:59:09.292+02:00,   0.354E-02, 544.28968,   0.560E+05
 113300,2021-08-23T05:00:07.086+02:00,   0.370E-02, 544.63646,   0.561E+05
 113400,2021-08-23T05:01:05.325+02:00,   0.339E-02, 544.98359,   0.562E+05
 113500,2021-08-23T05:02:03.247+02:00,   0.354E-02, 545.34052,   0.562E+05
 113600,2021-08-23T05:03:01.076+02:00,   0.366E-02, 545.68200,   0.563E+05
 113700,2021-08-23T05:03:59.070+02:00,   0.289E-02, 546.03969,   0.563E+05
 113800,2021-08-23T05:04:57.016+02:00,   0.322E-02, 546.38025,   0.564E+05
 113900,2021-08-23T05:05:55.313+02:00,   0.361E-02, 546.73252,   0.565E+05
 114000,2021-08-23T05:06:52.941+02:00,   0.352E-02, 547.08568,   0.565E+05
 114100,2021-08-23T05:07:51.234+02:00,   0.328E-02, 547.44028,   0.566E+05
 114200,2021-08-23T05:08:48.549+02:00,   0.299E-02, 547.79008,   0.566E+05
 114300,2021-08-23T05:09:47.071+02:00,   0.296E-02, 548.13146,   0.567E+05
 114400,2021-08-23T05:10:44.740+02:00,   0.398E-02, 548.48558,   0.567E+05
 114500,2021-08-23T05:11:42.574+02:00,   0.329E-02, 548.82955,   0.568E+05
 114600,2021-08-23T05:12:40.550+02:00,   0.360E-02, 549.17081,   0.569E+05
 114700,2021-08-23T05:13:37.955+02:00,   0.386E-02, 549.51568,   0.569E+05
 114800,2021-08-23T05:14:35.582+02:00,   0.338E-02, 549.87146,   0.570E+05
 114900,2021-08-23T05:15:33.112+02:00,   0.399E-02, 550.22676,   0.570E+05
 115000,2021-08-23T05:16:30.311+02:00,   0.360E-02, 550.58467,   0.571E+05
 115100,2021-08-23T05:17:28.278+02:00,   0.341E-02, 550.92479,   0.571E+05
 115200,2021-08-23T05:18:25.752+02:00,   0.324E-02, 551.27619,   0.572E+05
 115300,2021-08-23T05:19:23.347+02:00,   0.333E-02, 551.62512,   0.573E+05
 115400,2021-08-23T05:20:20.972+02:00,   0.313E-02, 551.96731,   0.573E+05
 115500,2021-08-23T05:21:18.656+02:00,   0.377E-02, 552.31303,   0.574E+05
 115600,2021-08-23T05:22:15.986+02:00,   0.391E-02, 552.66393,   0.574E+05
 115700,2021-08-23T05:23:13.298+02:00,   0.368E-02, 553.01374,   0.575E+05
 115800,2021-08-23T05:24:11.328+02:00,   0.355E-02, 553.35778,   0.575E+05
 115900,2021-08-23T05:25:08.985+02:00,   0.300E-02, 553.71624,   0.576E+05
 116000,2021-08-23T05:26:06.469+02:00,   0.333E-02, 554.07072,   0.577E+05
 116100,2021-08-23T05:27:03.635+02:00,   0.321E-02, 554.41335,   0.577E+05
 116200,2021-08-23T05:28:00.986+02:00,   0.387E-02, 554.77420,   0.578E+05
 116300,2021-08-23T05:28:58.513+02:00,   0.392E-02, 555.12792,   0.578E+05
 116400,2021-08-23T05:29:56.263+02:00,   0.344E-02, 555.47652,   0.579E+05
 116500,2021-08-23T05:30:54.121+02:00,   0.348E-02, 555.82492,   0.579E+05
 116600,2021-08-23T05:31:51.585+02:00,   0.342E-02, 556.17282,   0.580E+05
 116700,2021-08-23T05:32:49.357+02:00,   0.345E-02, 556.52635,   0.581E+05
 116800,2021-08-23T05:33:46.749+02:00,   0.343E-02, 556.87981,   0.581E+05
 116900,2021-08-23T05:34:43.416+02:00,   0.382E-02, 557.24038,   0.582E+05
 117000,2021-08-23T05:35:41.159+02:00,   0.358E-02, 557.58262,   0.582E+05
 117100,2021-08-23T05:36:38.056+02:00,   0.363E-02, 557.93897,   0.583E+05
 117200,2021-08-23T05:37:35.418+02:00,   0.320E-02, 558.28531,   0.583E+05
 117300,2021-08-23T05:38:32.965+02:00,   0.331E-02, 558.63266,   0.584E+05
 117400,2021-08-23T05:39:29.860+02:00,   0.367E-02, 558.98870,   0.585E+05
 117500,2021-08-23T05:40:27.296+02:00,   0.374E-02, 559.33969,   0.585E+05
 117600,2021-08-23T05:41:24.808+02:00,   0.323E-02, 559.69497,   0.586E+05
 117700,2021-08-23T05:42:21.791+02:00,   0.384E-02, 560.05465,   0.586E+05
 117800,2021-08-23T05:43:18.992+02:00,   0.361E-02, 560.40744,   0.587E+05
 117900,2021-08-23T05:44:16.091+02:00,   0.310E-02, 560.75033,   0.587E+05
 118000,2021-08-23T05:45:13.522+02:00,   0.381E-02, 561.09239,   0.588E+05
 118100,2021-08-23T05:46:10.779+02:00,   0.327E-02, 561.43715,   0.589E+05
 118200,2021-08-23T05:47:08.216+02:00,   0.339E-02, 561.78853,   0.589E+05
 118300,2021-08-23T05:48:05.352+02:00,   0.356E-02, 562.13791,   0.590E+05
 118400,2021-08-23T05:49:02.592+02:00,   0.360E-02, 562.48008,   0.590E+05
 118500,2021-08-23T05:50:00.091+02:00,   0.353E-02, 562.83276,   0.591E+05
 118600,2021-08-23T05:50:57.159+02:00,   0.390E-02, 563.17575,   0.591E+05
 118700,2021-08-23T05:51:54.706+02:00,   0.386E-02, 563.52583,   0.592E+05
 118800,2021-08-23T05:52:51.970+02:00,   0.377E-02, 563.87729,   0.593E+05
 118900,2021-08-23T05:53:49.739+02:00,   0.336E-02, 564.23150,   0.593E+05
 119000,2021-08-23T05:54:47.212+02:00,   0.383E-02, 564.58711,   0.594E+05
 119100,2021-08-23T05:55:45.398+02:00,   0.340E-02, 564.92789,   0.594E+05
 119200,2021-08-23T05:56:43.818+02:00,   0.337E-02, 565.27130,   0.595E+05
 119300,2021-08-23T05:57:41.265+02:00,   0.322E-02, 565.62170,   0.596E+05
 119400,2021-08-23T05:58:39.211+02:00,   0.358E-02, 565.97126,   0.596E+05
 119500,2021-08-23T05:59:36.767+02:00,   0.319E-02, 566.31346,   0.597E+05
 119600,2021-08-23T06:00:34.451+02:00,   0.350E-02, 566.67262,   0.597E+05
 119700,2021-08-23T06:01:32.057+02:00,   0.360E-02, 567.02585,   0.598E+05
 119800,2021-08-23T06:02:29.563+02:00,   0.335E-02, 567.37490,   0.598E+05
 119900,2021-08-23T06:03:27.686+02:00,   0.332E-02, 567.72035,   0.599E+05
 120000,2021-08-23T06:04:25.542+02:00,   0.340E-02, 568.06934,   0.600E+05
 120100,2021-08-23T06:05:23.260+02:00,   0.367E-02, 568.41793,   0.600E+05
 120200,2021-08-23T06:06:21.023+02:00,   0.336E-02, 568.76772,   0.601E+05
 120300,2021-08-23T06:07:19.463+02:00,   0.374E-02, 569.11326,   0.601E+05
 120400,2021-08-23T06:08:18.122+02:00,   0.314E-02, 569.45437,   0.602E+05
 120500,2021-08-23T06:09:15.730+02:00,   0.346E-02, 569.80293,   0.602E+05
 120600,2021-08-23T06:10:14.243+02:00,   0.333E-02, 570.15901,   0.603E+05
 120700,2021-08-23T06:11:11.987+02:00,   0.390E-02, 570.50472,   0.604E+05
 120800,2021-08-23T06:12:09.904+02:00,   0.369E-02, 570.86745,   0.604E+05
 120900,2021-08-23T06:13:08.065+02:00,   0.341E-02, 571.21923,   0.605E+05
 121000,2021-08-23T06:14:05.348+02:00,   0.353E-02, 571.57573,   0.605E+05
 121100,2021-08-23T06:15:03.596+02:00,   0.391E-02, 571.92186,   0.606E+05
 121200,2021-08-23T06:16:01.475+02:00,   0.328E-02, 572.27941,   0.607E+05
 121300,2021-08-23T06:16:59.303+02:00,   0.340E-02, 572.63450,   0.607E+05
 121400,2021-08-23T06:17:56.473+02:00,   0.321E-02, 572.98059,   0.608E+05
 121500,2021-08-23T06:18:53.992+02:00,   0.322E-02, 573.32180,   0.608E+05
 121600,2021-08-23T06:19:51.958+02:00,   0.309E-02, 573.68039,   0.609E+05
 121700,2021-08-23T06:20:49.222+02:00,   0.364E-02, 574.02800,   0.609E+05
 121800,2021-08-23T06:21:47.344+02:00,   0.338E-02, 574.36427,   0.610E+05
 121900,2021-08-23T06:22:44.603+02:00,   0.351E-02, 574.71710,   0.611E+05
 122000,2021-08-23T06:23:42.625+02:00,   0.386E-02, 575.06686,   0.611E+05
 122100,2021-08-23T06:24:40.962+02:00,   0.339E-02, 575.41686,   0.612E+05
 122200,2021-08-23T06:25:38.924+02:00,   0.321E-02, 575.75933,   0.612E+05
 122300,2021-08-23T06:26:37.367+02:00,   0.339E-02, 576.10780,   0.613E+05
 122400,2021-08-23T06:27:35.541+02:00,   0.352E-02, 576.45047,   0.613E+05
 122500,2021-08-23T06:28:33.435+02:00,   0.372E-02, 576.80753,   0.614E+05
 122600,2021-08-23T06:29:31.129+02:00,   0.355E-02, 577.15741,   0.615E+05
 122700,2021-08-23T06:30:29.894+02:00,   0.332E-02, 577.50243,   0.615E+05
 122800,2021-08-23T06:31:28.309+02:00,   0.358E-02, 577.84270,   0.616E+05
 122900,2021-08-23T06:32:26.616+02:00,   0.369E-02, 578.19148,   0.616E+05
 123000,2021-08-23T06:33:25.377+02:00,   0.364E-02, 578.54387,   0.617E+05
 123100,2021-08-23T06:34:23.474+02:00,   0.359E-02, 578.89235,   0.617E+05
 123200,2021-08-23T06:35:21.960+02:00,   0.321E-02, 579.23871,   0.618E+05
 123300,2021-08-23T06:36:20.427+02:00,   0.310E-02, 579.57670,   0.619E+05
 123400,2021-08-23T06:37:18.653+02:00,   0.321E-02, 579.93264,   0.619E+05
 123500,2021-08-23T06:38:17.189+02:00,   0.250E-02, 580.27866,   0.620E+05
 123600,2021-08-23T06:39:15.181+02:00,   0.335E-02, 580.63884,   0.620E+05
 123700,2021-08-23T06:40:13.119+02:00,   0.363E-02, 580.99196,   0.621E+05
 123800,2021-08-23T06:41:11.094+02:00,   0.355E-02, 581.33511,   0.622E+05
 123900,2021-08-23T06:42:10.094+02:00,   0.313E-02, 581.67848,   0.622E+05
 124000,2021-08-23T06:43:08.346+02:00,   0.373E-02, 582.03109,   0.623E+05
 124100,2021-08-23T06:44:06.375+02:00,   0.334E-02, 582.37913,   0.623E+05
 124200,2021-08-23T06:45:05.465+02:00,   0.367E-02, 582.72939,   0.624E+05
 124300,2021-08-23T06:46:03.831+02:00,   0.356E-02, 583.07857,   0.624E+05
 124400,2021-08-23T06:47:02.482+02:00,   0.357E-02, 583.42880,   0.625E+05
 124500,2021-08-23T06:48:00.804+02:00,   0.314E-02, 583.77093,   0.626E+05
 124600,2021-08-23T06:48:59.747+02:00,   0.371E-02, 584.11654,   0.626E+05
 124700,2021-08-23T06:49:58.725+02:00,   0.362E-02, 584.46617,   0.627E+05
 124800,2021-08-23T06:50:56.872+02:00,   0.390E-02, 584.81870,   0.627E+05
 124900,2021-08-23T06:51:55.984+02:00,   0.324E-02, 585.16911,   0.628E+05
 125000,2021-08-23T06:52:53.992+02:00,   0.345E-02, 585.51053,   0.629E+05
 125100,2021-08-23T06:53:52.930+02:00,   0.327E-02, 585.85671,   0.629E+05
 125200,2021-08-23T06:54:50.913+02:00,   0.324E-02, 586.20759,   0.630E+05
 125300,2021-08-23T06:55:48.398+02:00,   0.338E-02, 586.55806,   0.630E+05
 125400,2021-08-23T06:56:46.835+02:00,   0.355E-02, 586.90883,   0.631E+05
 125500,2021-08-23T06:57:44.875+02:00,   0.327E-02, 587.26271,   0.631E+05
 125600,2021-08-23T06:58:43.530+02:00,   0.360E-02, 587.61281,   0.632E+05
 125700,2021-08-23T06:59:41.630+02:00,   0.356E-02, 587.97592,   0.633E+05
 125800,2021-08-23T07:00:40.015+02:00,   0.334E-02, 588.32505,   0.633E+05
 125900,2021-08-23T07:01:39.792+02:00,   0.356E-02, 588.66897,   0.634E+05
 126000,2021-08-23T07:02:38.401+02:00,   0.348E-02, 589.02616,   0.634E+05
 126100,2021-08-23T07:03:37.010+02:00,   0.364E-02, 589.38457,   0.635E+05
 126200,2021-08-23T07:04:35.658+02:00,   0.367E-02, 589.73391,   0.636E+05
 126300,2021-08-23T07:05:34.629+02:00,   0.375E-02, 590.08225,   0.636E+05
 126400,2021-08-23T07:06:33.334+02:00,   0.354E-02, 590.43291,   0.637E+05
 126500,2021-08-23T07:07:31.466+02:00,   0.361E-02, 590.77862,   0.637E+05
 126600,2021-08-23T07:08:30.664+02:00,   0.389E-02, 591.13292,   0.638E+05
 126700,2021-08-23T07:09:28.470+02:00,   0.356E-02, 591.48960,   0.638E+05
 126800,2021-08-23T07:10:26.555+02:00,   0.363E-02, 591.85115,   0.639E+05
 126900,2021-08-23T07:11:24.954+02:00,   0.383E-02, 592.19934,   0.640E+05
 127000,2021-08-23T07:12:23.244+02:00,   0.329E-02, 592.55276,   0.640E+05
 127100,2021-08-23T07:13:21.725+02:00,   0.365E-02, 592.89465,   0.641E+05
 127200,2021-08-23T07:14:19.771+02:00,   0.324E-02, 593.24138,   0.641E+05
 127300,2021-08-23T07:15:17.811+02:00,   0.338E-02, 593.58450,   0.642E+05
 127400,2021-08-23T07:16:15.689+02:00,   0.309E-02, 593.92750,   0.643E+05
 127500,2021-08-23T07:17:13.775+02:00,   0.374E-02, 594.27490,   0.643E+05
 127600,2021-08-23T07:18:11.700+02:00,   0.318E-02, 594.61772,   0.644E+05
 127700,2021-08-23T07:19:09.277+02:00,   0.351E-02, 594.96081,   0.644E+05
 127800,2021-08-23T07:20:07.522+02:00,   0.366E-02, 595.30797,   0.645E+05
 127900,2021-08-23T07:21:04.879+02:00,   0.313E-02, 595.66432,   0.645E+05
 128000,2021-08-23T07:22:03.267+02:00,   0.350E-02, 596.01279,   0.646E+05
 128100,2021-08-23T07:23:00.902+02:00,   0.350E-02, 596.36362,   0.647E+05
 128200,2021-08-23T07:23:59.204+02:00,   0.344E-02, 596.70474,   0.647E+05
 128300,2021-08-23T07:24:57.392+02:00,   0.341E-02, 597.05955,   0.648E+05
 128400,2021-08-23T07:25:55.249+02:00,   0.322E-02, 597.40442,   0.648E+05
 128500,2021-08-23T07:26:53.219+02:00,   0.373E-02, 597.76314,   0.649E+05
 128600,2021-08-23T07:27:51.129+02:00,   0.329E-02, 598.10945,   0.649E+05
 128700,2021-08-23T07:28:48.930+02:00,   0.318E-02, 598.45268,   0.650E+05
 128800,2021-08-23T07:29:46.666+02:00,   0.362E-02, 598.79720,   0.651E+05
 128900,2021-08-23T07:30:44.399+02:00,   0.312E-02, 599.14626,   0.651E+05
 129000,2021-08-23T07:31:42.422+02:00,   0.298E-02, 599.48626,   0.652E+05
 129100,2021-08-23T07:32:40.094+02:00,   0.328E-02, 599.83846,   0.652E+05
 129148,2021-08-23T07:33:07.941+02:00,   0.106E-02, 600.00000,   0.653E+05
